school_id,state,geographic_school_district,children_5_17_saipe_estimate,poverty_saipe_estimate,single_parent_estimate,single_parent_margin_of_error,hhs_with_vulnerable_job_estimate,vulnerable_job_margin_of_error,crowded_conditions_estimate,hh_with_crowded_conditions_margin_of_error,no_computer_or_internet_estimate,no_computer_or_internet_margin_of_error,children_with_disability,children_with_disability_margin_of_error,linguistically_isolated_children,linguistically_isolated_children_margin_of_error
1,Alabama,Fort Rucker School District,985,0.12442396581172943,0.04897494241595268,0%-10%,0.32755905389785767,20%-46%,0.028089888393878937,0%-8%,0.020489471033215523,0%-5%,0.03248731046915054,0%-6%,0,0%-3%
3,Alabama,Maxwell AFB School District,292,0.15226337313652039,0.1018867939710617,3%-17%,0.30651339888572693,4%-57%,0.009966777637600899,0%-10%,0.014527845196425915,0%-6%,0.054794520139694214,2%-9%,0,0%-8%
5,Alabama,Albertville City School District,4591,0.30053842067718506,0.3529261350631714,26%-44%,0.3265352249145508,28%-37%,0.04766444116830826,3%-7%,0.22147135436534882,13%-32%,0.018078850582242012,0%-3%,0.17360052466392517,10%-24%
6,Alabama,Marshall County School District,8299,0.266221821308136,0.2951967418193817,24%-35%,0.23486670851707458,21%-26%,0.0263831689953804,2%-3%,0.14248564839363098,11%-18%,0.04349921643733978,3%-6%,0.03867935761809349,1%-7%
7,Alabama,Hoover City School District,15397,0.07259552925825119,0.20831553637981415,17%-25%,0.29216548800468445,27%-31%,0.01548487227410078,1%-2%,0.03168848156929016,1%-5%,0.0387737862765789,2%-5%,0.044164448976516724,1%-8%
8,Alabama,Madison City School District,9416,0.08298157155513763,0.17839834094047546,12%-23%,0.20930607616901398,19%-23%,0.01608305051922798,1%-3%,0.10363836586475372,6%-15%,0.057773999869823456,4%-8%,0.004248088225722313,0%-1%
11,Alabama,Leeds City School District,2324,0.16887608170509338,0.27438369393348694,14%-41%,0.3043552339076996,25%-36%,0.029897553846240044,1%-5%,0.2376333624124527,13%-35%,0.08003441989421844,3%-13%,0,0%-2%
12,Alabama,Boaz City School District,1644,0.24957069754600525,0.4009729027748108,20%-60%,0.30367767810821533,25%-36%,0.012636899948120117,0%-3%,0.11448502540588379,3%-20%,0.06447688490152359,2%-11%,0.06751824915409088,1%-12%
13,Alabama,Trussville City School District,4476,0.06697698682546616,0.22902320325374603,15%-31%,0.25656864047050476,22%-29%,0.006769070401787758,0%-2%,0.039202768355607986,1%-7%,0.025245755910873413,1%-4%,0,0%-1%
30,Alabama,Alexander City City School District,3064,0.373364120721817,0.5040618777275085,39%-62%,0.23417529463768005,19%-28%,0.04221784323453903,2%-6%,0.17756539583206177,10%-26%,0.052219320088624954,3%-8%,0.02872062660753727,0%-6%
